Date,Close,High,Low,Open,Volume
2025-01-21,84.27,84.89,82.08,84.2,41725900.0,
2025-01-22,87.54,88.64,86.45,86.58,43132700.0,
2025-01-23,88.08,88.12,86.01,86.28,30240500.0,
2025-01-24,86.49,88.56,85.75,88.16,36239600.0,
2025-01-27,78.9,80.79,76.95,77.35,80910800.0,
2025-01-28,82.4,82.92,77.77,79.34,50516700.0,
2025-01-29,81.89,82.73,80.02,82.66,59240600.0,
2025-01-30,82.92,84.34,80.62,83.22,57585500.0,
2025-01-31,82.47,86.83,81.93,84.67,59334600.0,
2025-02-03,80.48,81.74,77.11,78.29,76628500.0,
2025-02-04,83.4,83.69,80.49,80.67,42317300.0,
2025-02-05,84.49,84.57,81.51,82.1,39847400.0,
2025-02-06,85.75,85.87,83.94,84.71,38215500.0,
2025-02-07,82.48,86.93,82.1,86.0,55435200.0,
2025-02-10,85.38,85.94,84.25,84.48,32797100.0,
2025-02-11,84.77,85.73,83.76,83.82,31301400.0,
2025-02-12,84.94,85.35,81.85,82.03,48493300.0,
2025-02-13,88.52,88.69,85.32,85.72,46460100.0,
2025-02-14,89.56,89.91,88.33,88.54,38028700.0,
2025-02-18,90.12,90.48,88.48,90.36,34412600.0,
2025-02-19,90.13,90.85,88.65,89.73,34257900.0,
2025-02-20,89.03,89.96,86.63,89.78,40133000.0,
2025-02-21,83.46,89.52,83.22,89.5,59313600.0,
2025-02-24,80.46,84.79,80.26,84.25,53233700.0,
2025-02-25,77.39,80.14,75.55,80.09,75597200.0,
2025-02-26,77.89,80.21,76.46,78.34,63175700.0,
2025-02-27,71.42,79.93,71.26,79.48,103375500.0,
2025-02-28,74.69,74.94,69.87,71.24,93179000.0,
2025-03-03,69.87,76.82,68.23,76.14,91945800.0,
2025-03-04,69.1,72.55,65.81,68.55,130836900.0,
2025-03-05,71.79,72.47,67.29,69.34,100633300.0,
2025-03-06,65.84,70.29,64.97,68.18,122822700.0,
2025-03-07,67.21,67.8,62.7,65.36,135177300.0,
2025-03-10,59.63,64.0,57.7,63.81,156135800.0,
2025-03-11,58.93,61.66,57.2,59.22,139489300.0,
2025-03-12,60.95,62.47,58.98,61.75,141918600.0,
2025-03-13,57.62,60.67,56.87,60.62,121227300.0,
2025-03-14,61.7,62.04,59.32,59.53,99108500.0,
2025-03-17,62.9,64.09,60.97,61.69,90150400.0,
2025-03-18,59.73,61.59,58.83,61.58,87826200.0,
2025-03-19,62.05,63.72,59.76,60.5,92593200.0,
2025-03-20,61.41,63.44,60.19,60.48,88409100.0,
2025-03-21,61.99,62.23,58.89,59.35,80491000.0,
2025-03-24,65.93,66.33,64.62,64.86,63411500.0,
2025-03-25,67.11,67.17,65.89,66.28,55569700.0,
2025-03-26,63.38,66.98,62.75,66.63,78503200.0,
2025-03-27,62.29,64.23,61.75,62.59,72368000.0,
2025-03-28,57.34,61.81,56.97,61.54,103632100.0,
2025-03-31,57.29,57.63,53.04,54.72,106854500.0,
2025-04-01,58.61,58.99,55.61,56.68,97098200.0,
2025-04-02,59.93,61.2,56.09,56.18,123087400.0,
2025-04-03,50.29,53.83,50.11,52.43,140115700.0,
2025-04-04,41.09,46.77,41.02,45.99,258026700.0,
2025-04-07,41.25,46.83,35.0,36.75,395727600.0,
2025-04-08,38.9,46.81,37.09,45.38,251147700.0,
2025-04-09,52.61,53.4,38.72,38.75,356932000.0,
2025-04-10,46.13,49.34,41.56,48.68,281692700.0,
2025-04-11,48.58,49.06,44.61,45.66,179292900.0,
2025-04-14,49.59,52.04,48.06,51.9,147430700.0,
2025-04-15,49.79,51.2,49.18,49.95,104670100.0,
2025-04-16,45.29,48.0,43.15,46.83,134574400.0,
2025-04-17,45.15,46.29,44.34,46.09,101095800.0,
2025-04-21,41.86,43.63,40.24,43.36,114769700.0,
2025-04-22,45.06,45.97,43.09,43.45,130111400.0,
2025-04-23,48.04,50.83,47.63,49.24,151997700.0,
2025-04-24,52.13,52.27,48.54,48.74,120307700.0,
2025-04-25,53.86,54.06,51.47,52.04,113051600.0,
2025-04-28,53.81,54.63,51.63,54.02,95678400.0,
2025-04-29,54.86,55.16,52.83,53.04,84904000.0,
2025-04-30,54.88,55.41,50.31,51.95,134223300.0,
2025-05-01,56.77,58.88,56.63,57.56,102740800.0,
2025-05-02,59.43,60.18,58.02,58.63,97548900.0,
2025-05-05,58.4,59.5,57.7,57.9,69289500.0,
2025-05-06,56.74,58.04,55.56,56.06,82942900.0,
2025-05-07,57.4,58.25,55.09,56.95,103933600.0,
2025-05-08,59.11,60.7,57.65,59.2,98810800.0,
2025-05-09,58.97,60.27,58.33,59.79,73409400.0,
2025-05-12,66.11,66.16,63.84,65.84,101245000.0,
2025-05-13,69.13,69.86,66.36,66.66,85297700.0,
2025-05-14,70.36,70.61,69.2,69.61,80592400.0,
2025-05-15,70.58,71.69,68.93,69.48,80847400.0,
