Date,Close,High,Low,Open,Volume
2025-01-21,95.3,95.39,93.4,94.35,5879900.0,
2025-01-22,96.95,97.66,96.54,96.77,3103300.0,
2025-01-23,98.54,98.55,96.53,96.66,2932500.0,
2025-01-24,97.61,98.98,97.06,98.53,2942400.0,
2025-01-27,93.45,93.6,91.14,91.24,6126000.0,
2025-01-28,95.78,96.22,92.43,94.0,4371400.0,
2025-01-29,94.47,95.6,93.27,95.4,4804900.0,
2025-01-30,95.97,96.72,93.96,95.5,4292500.0,
2025-01-31,94.35,98.25,93.99,97.07,4714500.0,
2025-02-03,92.39,93.6,89.01,90.07,6173500.0,
2025-02-04,94.26,94.51,92.18,92.39,3429400.0,
2025-02-05,95.35,95.44,92.73,93.71,3205700.0,
2025-02-06,96.34,96.4,94.59,96.17,3218600.0,
2025-02-07,93.62,97.12,93.27,96.54,4590500.0,
2025-02-10,95.42,95.78,94.5,95.1,8225300.0,
2025-02-11,95.62,95.93,94.32,94.37,2419700.0,
2025-02-12,94.73,95.28,92.45,92.74,3590300.0,
2025-02-13,97.69,97.79,94.63,95.22,3641700.0,
2025-02-14,97.58,98.18,97.25,97.71,2828600.0,
2025-02-18,98.33,98.39,96.92,98.11,2797600.0,
2025-02-19,99.05,99.2,97.44,97.69,2830300.0,
2025-02-20,97.79,98.42,96.15,98.36,3234600.0,
2025-02-21,92.73,97.64,92.46,97.61,4852800.0,
2025-02-24,91.39,94.08,91.05,93.59,4500000.0,
2025-02-25,89.95,91.66,87.84,91.34,5382500.0,
2025-02-26,90.05,92.39,88.89,90.72,4290300.0,
2025-02-27,85.75,91.64,85.58,91.14,5319900.0,
2025-02-28,89.64,89.91,84.52,85.89,8008000.0,
2025-03-03,85.05,91.08,83.2,90.54,6151700.0,
2025-03-04,81.9,85.61,79.87,83.13,7322600.0,
2025-03-05,84.47,85.28,80.25,81.78,6547000.0,
2025-03-06,80.02,83.2,78.84,81.2,7101700.0,
2025-03-07,81.2,81.85,76.99,79.15,6519800.0,
2025-03-10,74.78,78.52,72.61,77.68,8921400.0,
2025-03-11,72.91,75.58,71.29,74.21,6705100.0,
2025-03-12,73.97,75.63,71.93,75.26,6131800.0,
2025-03-13,71.02,74.04,70.29,73.79,5148200.0,
2025-03-14,75.3,75.7,72.48,72.75,4855800.0,
2025-03-17,77.0,78.06,75.11,75.25,7807600.0,
2025-03-18,74.55,76.13,73.72,76.04,4509200.0,
2025-03-19,76.88,78.42,74.72,75.21,5573600.0,
2025-03-20,76.32,78.29,75.07,75.32,3978900.0,
2025-03-21,76.32,76.59,73.8,74.34,5009800.0,
2025-03-24,80.28,80.74,78.73,79.01,5246000.0,
2025-03-25,80.81,81.27,80.13,80.82,3722100.0,
2025-03-26,78.01,81.16,77.36,80.7,6061600.0,
2025-03-27,77.27,78.86,76.41,77.37,4440000.0,
2025-03-28,72.63,76.9,72.33,76.61,9093400.0,
2025-03-31,73.9,74.51,69.11,70.26,7467300.0,
2025-04-01,74.62,75.38,71.72,73.19,7031600.0,
2025-04-02,76.02,77.15,72.12,72.23,6995900.0,
2025-04-03,65.12,69.27,64.83,68.12,9506300.0,
2025-04-04,53.81,60.75,53.27,59.97,25205000.0,
2025-04-07,53.04,58.93,45.88,48.16,21086000.0,
2025-04-08,50.65,59.47,48.22,58.52,16152200.0,
2025-04-09,64.8,65.68,49.4,49.54,28627200.0,
2025-04-10,58.02,61.2,52.63,60.72,14488200.0,
2025-04-11,61.08,61.9,56.47,57.45,8597000.0,
2025-04-14,62.77,64.59,61.02,64.52,7974400.0,
2025-04-15,62.29,64.23,61.97,63.0,14040600.0,
2025-04-16,58.11,61.36,56.25,60.18,7454000.0,
2025-04-17,58.27,59.86,57.45,58.66,6848100.0,
2025-04-21,54.13,56.7,52.31,56.5,6116700.0,
2025-04-22,58.2,58.97,55.77,56.08,7778500.0,
2025-04-23,60.99,64.29,60.47,62.63,10778900.0,
2025-04-24,64.76,65.09,60.99,61.4,5258900.0,
2025-04-25,66.13,66.33,63.74,64.76,6197700.0,
2025-04-28,66.27,67.19,64.12,66.4,5511300.0,
2025-04-29,67.4,67.86,65.41,65.55,4265500.0,
2025-04-30,67.47,68.23,62.77,65.0,6708900.0,
2025-05-01,68.91,71.0,68.72,69.66,4731300.0,
2025-05-02,71.91,72.55,70.33,71.23,5152000.0,
2025-05-05,70.73,71.9,70.01,70.33,3863300.0,
2025-05-06,68.93,70.61,68.22,68.55,4410900.0,
2025-05-07,69.8,70.72,67.87,69.38,5289500.0,
2025-05-08,71.16,73.16,69.94,71.27,6515700.0,
2025-05-09,70.83,72.05,70.3,71.69,4053100.0,
2025-05-12,77.79,77.86,75.62,77.3,6493700.0,
2025-05-13,79.37,80.29,77.8,78.05,5307000.0,
2025-05-14,79.63,80.23,78.86,79.77,4671400.0,
2025-05-15,80.77,81.02,78.62,78.83,4407600.0,
